Date,Value,Comment,Comment
1995-10-01T00:00:00.000+02:00,123.2,Historical data not yet verfied,
1995-09-01T00:00:00.000+02:00,75.2,Historical data not yet verfied,
1995-08-01T00:00:00.000+02:00,187.8,Historical data not yet verfied,
1995-07-01T00:00:00.000+02:00,357.6,Historical data not yet verfied,
1995-06-01T00:00:00.000+02:00,505.6,Historical data not yet verfied,
1995-05-01T00:00:00.000+02:00,191.1,Historical data not yet verfied,
1995-04-01T00:00:00.000+02:00,50.2,Historical data not yet verfied,
1995-03-01T00:00:00.000+02:00,23.1,Historical data not yet verfied,
1995-02-01T00:00:00.000+02:00,55.5,Historical data not yet verfied,
1995-01-01T00:00:00.000+02:00,56,Historical data not yet verfied,
1994-12-01T00:00:00.000+02:00,22,Historical data not yet verfied,
1994-11-01T00:00:00.000+02:00,24.3,Historical data not yet verfied,
1994-10-01T00:00:00.000+02:00,33.7,Historical data not yet verfied,
1994-09-01T00:00:00.000+02:00,70.3,Historical data not yet verfied,
1994-08-01T00:00:00.000+02:00,74,Historical data not yet verfied,
1994-07-01T00:00:00.000+02:00,199.3,Historical data not yet verfied,
1994-06-01T00:00:00.000+02:00,410.9,Historical data not yet verfied,
1994-05-01T00:00:00.000+02:00,76.4,Historical data not yet verfied,
1994-04-01T00:00:00.000+02:00,60.9,Historical data not yet verfied,
1994-03-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1994-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1994-01-01T00:00:00.000+02:00,62.9,Historical data not yet verfied,
1993-12-01T00:00:00.000+02:00,27.8,Historical data not yet verfied,
1993-11-01T00:00:00.000+02:00,30.5,Historical data not yet verfied,
1993-10-01T00:00:00.000+02:00,10.7,Historical data not yet verfied,
1993-09-01T00:00:00.000+02:00,17.6,Historical data not yet verfied,
1993-08-01T00:00:00.000+02:00,178.3,Historical data not yet verfied,
1993-07-01T00:00:00.000+02:00,334.2,Historical data not yet verfied,
1993-06-01T00:00:00.000+02:00,257.6,Historical data not yet verfied,
1993-05-01T00:00:00.000+02:00,265.5,Historical data not yet verfied,
1993-04-01T00:00:00.000+02:00,401.4,Historical data not yet verfied,
1993-03-01T00:00:00.000+02:00,6.3,Historical data not yet verfied,
1993-02-01T00:00:00.000+02:00,57.7,Historical data not yet verfied,
1993-01-01T00:00:00.000+02:00,29.7,Historical data not yet verfied,
1992-12-01T00:00:00.000+02:00,37.4,Historical data not yet verfied,
1992-11-01T00:00:00.000+02:00,59.3,Historical data not yet verfied,
1992-10-01T00:00:00.000+02:00,155,Historical data not yet verfied,
1992-09-01T00:00:00.000+02:00,131.4,Historical data not yet verfied,
1992-08-01T00:00:00.000+02:00,95.5,Historical data not yet verfied,
1992-07-01T00:00:00.000+02:00,216.5,Historical data not yet verfied,
1992-06-01T00:00:00.000+02:00,341.6,Historical data not yet verfied,
1992-05-01T00:00:00.000+02:00,125.6,Historical data not yet verfied,
1992-04-01T00:00:00.000+02:00,118.2,Historical data not yet verfied,
1992-03-01T00:00:00.000+02:00,17.5,Historical data not yet verfied,
1992-02-01T00:00:00.000+02:00,54,Historical data not yet verfied,
