Date,Value,Comment,Comment
1995-08-01T00:00:00.000+02:00,167.5296,Historical data not yet verfied,
1995-07-01T00:00:00.000+02:00,378.4928,Historical data not yet verfied,
1995-06-01T00:00:00.000+02:00,596.5472,Historical data not yet verfied,
1995-05-01T00:00:00.000+02:00,208.7472,Historical data not yet verfied,
1995-04-01T00:00:00.000+02:00,48.8628,Historical data not yet verfied,
1995-03-01T00:00:00.000+02:00,22.2708,Historical data not yet verfied,
1995-02-01T00:00:00.000+02:00,55.0676,Historical data not yet verfied,
1995-01-01T00:00:00.000+02:00,48.752,Historical data not yet verfied,
1994-12-01T00:00:00.000+02:00,20.2764,Historical data not yet verfied,
1994-11-01T00:00:00.000+02:00,22.16,Historical data not yet verfied,
1994-10-01T00:00:00.000+02:00,32.5752,Historical data not yet verfied,
1994-09-01T00:00:00.000+02:00,75.344,Historical data not yet verfied,
1994-08-01T00:00:00.000+02:00,61.3832,Historical data not yet verfied,
1994-07-01T00:00:00.000+02:00,222.3756,Historical data not yet verfied,
1994-06-01T00:00:00.000+02:00,484.3068,Historical data not yet verfied,
1994-05-01T00:00:00.000+02:00,67.2556,Historical data not yet verfied,
1994-04-01T00:00:00.000+02:00,63.8208,Historical data not yet verfied,
1994-03-01T00:00:00.000+02:00,10.3044,Historical data not yet verfied,
1994-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1994-01-01T00:00:00.000+02:00,63.3776,Historical data not yet verfied,
1993-12-01T00:00:00.000+02:00,27.9216,Historical data not yet verfied,
1993-11-01T00:00:00.000+02:00,30.9132,Historical data not yet verfied,
1993-10-01T00:00:00.000+02:00,10.4152,Historical data not yet verfied,
1993-09-01T00:00:00.000+02:00,18.6144,Historical data not yet verfied,
1993-08-01T00:00:00.000+02:00,172.4048,Historical data not yet verfied,
1993-07-01T00:00:00.000+02:00,376.3876,Historical data not yet verfied,
1993-06-01T00:00:00.000+02:00,213.0684,Historical data not yet verfied,
1993-05-01T00:00:00.000+02:00,273.676,Historical data not yet verfied,
1993-04-01T00:00:00.000+02:00,463.144,Historical data not yet verfied,
1993-03-01T00:00:00.000+02:00,5.7616,Historical data not yet verfied,
1993-02-01T00:00:00.000+02:00,57.616,Historical data not yet verfied,
1993-01-01T00:00:00.000+02:00,22.6032,Historical data not yet verfied,
1992-12-01T00:00:00.000+02:00,39.1124,Historical data not yet verfied,
1992-11-01T00:00:00.000+02:00,61.6048,Historical data not yet verfied,
1992-10-01T00:00:00.000+02:00,156.5604,Historical data not yet verfied,
1992-09-01T00:00:00.000+02:00,138.5,Historical data not yet verfied,
1992-08-01T00:00:00.000+02:00,100.0524,Historical data not yet verfied,
1992-07-01T00:00:00.000+02:00,221.4892,Historical data not yet verfied,
1992-06-01T00:00:00.000+02:00,373.6176,Historical data not yet verfied,
1992-05-01T00:00:00.000+02:00,128.4172,Historical data not yet verfied,
1992-04-01T00:00:00.000+02:00,133.4032,Historical data not yet verfied,
1992-03-01T00:00:00.000+02:00,17.9496,Historical data not yet verfied,
1992-02-01T00:00:00.000+02:00,54.846,Historical data not yet verfied,
1992-01-01T00:00:00.000+02:00,12.0772,Historical data not yet verfied,
1991-12-01T00:00:00.000+02:00,19.2792,Historical data not yet verfied,
1991-11-01T00:00:00.000+02:00,43.766,Historical data not yet verfied,
1991-09-01T00:00:00.000+02:00,307.5808,Historical data not yet verfied,
1991-08-01T00:00:00.000+02:00,137.392,Historical data not yet verfied,
1991-07-01T00:00:00.000+02:00,487.9632,Historical data not yet verfied,
1991-06-01T00:00:00.000+02:00,337.386,Historical data not yet verfied,
1991-05-01T00:00:00.000+02:00,252.2916,Historical data not yet verfied,
1991-04-01T00:00:00.000+02:00,60.0536,Historical data not yet verfied,
1991-03-01T00:00:00.000+02:00,30.47,Historical data not yet verfied,
1991-02-01T00:00:00.000+02:00,20.2764,Historical data not yet verfied,
1991-01-01T00:00:00.000+02:00,12.2988,Historical data not yet verfied,
1990-12-01T00:00:00.000+02:00,49.86,Historical data not yet verfied,
1990-11-01T00:00:00.000+02:00,42.9904,Historical data not yet verfied,
1990-10-01T00:00:00.000+02:00,19.0576,Historical data not yet verfied,
1990-09-01T00:00:00.000+02:00,79.1112,Historical data not yet verfied,
1990-08-01T00:00:00.000+02:00,210.52,Historical data not yet verfied,
1990-07-01T00:00:00.000+02:00,419.378,Historical data not yet verfied,
1990-06-01T00:00:00.000+02:00,206.642,Historical data not yet verfied,
1990-05-01T00:00:00.000+02:00,110.4676,Historical data not yet verfied,
1990-04-01T00:00:00.000+02:00,338.0508,Historical data not yet verfied,
1990-03-01T00:00:00.000+02:00,6.5372,Historical data not yet verfied,
1990-02-01T00:00:00.000+02:00,100.3848,Historical data not yet verfied,
1990-01-01T00:00:00.000+02:00,27.2568,Historical data not yet verfied,
1989-12-01T00:00:00.000+02:00,29.1404,Historical data not yet verfied,
1989-11-01T00:00:00.000+02:00,98.5012,Historical data not yet verfied,
1989-10-01T00:00:00.000+02:00,104.4844,Historical data not yet verfied,
1989-09-01T00:00:00.000+02:00,223.0404,Historical data not yet verfied,
1989-08-01T00:00:00.000+02:00,265.1444,Historical data not yet verfied,
1989-07-01T00:00:00.000+02:00,314.0072,Historical data not yet verfied,
1989-06-01T00:00:00.000+02:00,159.552,Historical data not yet verfied,
1989-05-01T00:00:00.000+02:00,178.8312,Historical data not yet verfied,
1989-04-01T00:00:00.000+02:00,173.8452,Historical data not yet verfied,
1989-03-01T00:00:00.000+02:00,164.9812,Historical data not yet verfied,
1989-02-01T00:00:00.000+02:00,35.6776,Historical data not yet verfied,
1989-01-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1988-12-01T00:00:00.000+02:00,55.954,Historical data not yet verfied,
1988-11-01T00:00:00.000+02:00,68.696,Historical data not yet verfied,
1988-10-01T00:00:00.000+02:00,36.01,Historical data not yet verfied,
1988-09-01T00:00:00.000+02:00,393.4508,Historical data not yet verfied,
1988-08-01T00:00:00.000+02:00,37.118,Historical data not yet verfied,
1988-07-01T00:00:00.000+02:00,240.1036,Historical data not yet verfied,
1988-06-01T00:00:00.000+02:00,184.8144,Historical data not yet verfied,
1988-05-01T00:00:00.000+02:00,171.186,Historical data not yet verfied,
1988-04-01T00:00:00.000+02:00,171.8508,Historical data not yet verfied,
1988-03-01T00:00:00.000+02:00,37.118,Historical data not yet verfied,
1988-02-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1988-01-01T00:00:00.000+02:00,3.5456,Historical data not yet verfied,
1987-12-01T00:00:00.000+02:00,123.9852,Historical data not yet verfied,
1987-11-01T00:00:00.000+02:00,47.8656,Historical data not yet verfied,
1987-10-01T00:00:00.000+02:00,49.306,Historical data not yet verfied,
1987-09-01T00:00:00.000+02:00,231.4612,Historical data not yet verfied,
1987-08-01T00:00:00.000+02:00,214.1764,Historical data not yet verfied,
1987-07-01T00:00:00.000+02:00,278.108,Historical data not yet verfied,
1987-06-01T00:00:00.000+02:00,284.4236,Historical data not yet verfied,
1987-05-01T00:00:00.000+02:00,281.2104,Historical data not yet verfied,
1987-04-01T00:00:00.000+02:00,80.884,Historical data not yet verfied,
1987-03-01T00:00:00.000+02:00,45.8712,Historical data not yet verfied,
1987-02-01T00:00:00.000+02:00,27.3676,Historical data not yet verfied,
1987-01-01T00:00:00.000+02:00,123.9852,Historical data not yet verfied,
1986-12-01T00:00:00.000+02:00,29.1404,Historical data not yet verfied,
1986-11-01T00:00:00.000+02:00,34.902,Historical data not yet verfied,
1986-10-01T00:00:00.000+02:00,29.362,Historical data not yet verfied,
1986-09-01T00:00:00.000+02:00,162.6544,Historical data not yet verfied,
1986-08-01T00:00:00.000+02:00,293.2876,Historical data not yet verfied,
1986-07-01T00:00:00.000+02:00,313.564,Historical data not yet verfied,
1986-06-01T00:00:00.000+02:00,304.146,Historical data not yet verfied,
1986-05-01T00:00:00.000+02:00,137.1704,Historical data not yet verfied,
1986-04-01T00:00:00.000+02:00,174.9532,Historical data not yet verfied,
1986-03-01T00:00:00.000+02:00,52.7408,Historical data not yet verfied,
1986-02-01T00:00:00.000+02:00,46.4252,Historical data not yet verfied,
1986-01-01T00:00:00.000+02:00,62.602,Historical data not yet verfied,
1985-12-01T00:00:00.000+02:00,23.822,Historical data not yet verfied,
1985-11-01T00:00:00.000+02:00,21.4952,Historical data not yet verfied,
1985-10-01T00:00:00.000+02:00,33.1292,Historical data not yet verfied,
1985-09-01T00:00:00.000+02:00,137.5028,Historical data not yet verfied,
1985-08-01T00:00:00.000+02:00,197.6672,Historical data not yet verfied,
1985-07-01T00:00:00.000+02:00,253.5104,Historical data not yet verfied,
1985-06-01T00:00:00.000+02:00,324.09,Historical data not yet verfied,
1985-05-01T00:00:00.000+02:00,166.6432,Historical data not yet verfied,
1985-04-01T00:00:00.000+02:00,90.856,Historical data not yet verfied,
1985-03-01T00:00:00.000+02:00,172.9588,Historical data not yet verfied,
1985-02-01T00:00:00.000+02:00,89.6372,Historical data not yet verfied,
1985-01-01T00:00:00.000+02:00,97.6148,Historical data not yet verfied,
1984-12-01T00:00:00.000+02:00,200.7696,Historical data not yet verfied,
1984-11-01T00:00:00.000+02:00,25.8164,Historical data not yet verfied,
1984-10-01T00:00:00.000+02:00,158.998,Historical data not yet verfied,
1984-09-01T00:00:00.000+02:00,230.0208,Historical data not yet verfied,
1984-08-01T00:00:00.000+02:00,120.6612,Historical data not yet verfied,
1984-07-01T00:00:00.000+02:00,338.7156,Historical data not yet verfied,
