site_name,lat,long,Area(km2),Forest typ,C,rvalue_1
185,-1.200000000000000,36.600000000000000,0.364000000000000,BF,S,1437.000000000000000
207,-1.200000000000000,36.600000000000000,0.151000000000000,BF,S,1437.000000000000000
208,-1.200000000000000,36.600000000000000,0.411000000000000,BF,S,1437.000000000000000
187,-0.366667000000000,35.350000000000000,0.125000000000000,BF,S,1532.000000000000000
254,-0.365170000000000,35.286034000000000,0.974000000000000,BF,S,1641.000000000000000
68,2.766667000000000,102.099999999999000,0.375000000000000,BF,S,1452.000000000000000
69,2.766667000000000,102.099999999999000,0.524000000000000,CF,S,1452.000000000000000
252,3.865191000000000,102.531599999999000,0.003500000000000,CF,S,1466.000000000000000
253,3.865191000000000,102.531599999999000,0.202000000000000,BF,S,1466.000000000000000
206,8.350000000000000,43.016666999999900,0.140000000000000,CF,S,2202.000000000000000
66,9.575400000000000,36.623100000000000,0.140000000000000,CF,S,1857.000000000000000
228,11.373234000000000,76.760132999999900,0.140000000000000,CF,S,1540.000000000000000
203,50.049999999999900,12.666666670000000,504.000000000000000,BF,S,686.000000000000000
198,15.516667000000000,26.316666999999900,256.000000000000000,BF,S,3138.000000000000000
230,-18.004166670000000,177.352222200000000,19.460000000000000,BF,S,1575.000000000000000
163,18.035000000000000,-66.034000000000000,8.250000000000000,BF,S,1787.000000000000000
244,18.077999999999900,-66.634000000000000,7.700000000000000,BF,S,1771.000000000000000
181,18.085999999999900,-66.561999999999900,8.640000000000000,BF,S,1797.000000000000000
283,18.216999999999900,-65.924999999999900,2.270000000000000,CF,S,1867.000000000000000
73,18.236000000000000,-66.454999999999900,109.500000000000000,BF,S,1692.000000000000000
161,18.242000000000000,-66.010000000000000,0.690000000000000,CF,S,1885.000000000000000
132,18.295999999999900,-65.691999999999900,0.960000000000000,CF,S,1833.000000000000000
247,18.298950000000000,-65.693827780000000,0.090000000000000,CF,S,1833.000000000000000
271,18.300999999999900,-66.781999999999900,1.010000000000000,CF,S,1725.000000000000000
89,18.318000000000000,-65.888999999999900,0.130000000000000,CF,S,1845.000000000000000
162,18.323000000000000,-66.459000000000000,0.210000000000000,CF,S,1798.000000000000000
97,18.352000000000000,-66.335999999999900,0.049300000000000,CF,S,1816.000000000000000
123,18.359999999999900,-67.088999999999900,0.590000000000000,CF,S,1853.000000000000000
178,26.140000000000000,105.700000000000000,0.059100000000000,CF,S,1134.000000000000000
125,29.066666670000000,114.566666699999000,0.051100000000000,CF,S,1325.000000000000000
128,30.326436999999900,78.032697999999900,0.043500000000000,CF,S,1697.000000000000000
293,31.708333329999900,105.500000000000000,0.710000000000000,CF,S,1005.000000000000000
263,31.850000000000000,131.216666699999000,3.030000000000000,CF,S,1182.000000000000000
225,32.740980999999900,-111.548248999999000,0.710000000000000,CF,S,2700.000000000000000
164,33.376192000000000,-83.472634999999900,3.540000000000000,BF,S,1550.000000000000000
273,33.708252530000000,-109.242611400000000,0.180000000000000,BF,S,1828.000000000000000
304,33.788912560000000,-110.963855199999000,1.221000000000000,BF,S,2079.000000000000000
305,33.788912560000000,-110.963855199999000,1.440000000000000,BF,S,2079.000000000000000
303,33.788912560000000,-110.963855199999000,0.340000000000000,BF,S,2079.000000000000000
220,33.788912560000000,-110.963855199999000,0.330000000000000,BF,S,2079.000000000000000
260,33.788912560000000,-110.963855199999000,1.000000000000000,CF,S,2079.000000000000000
306,33.788912560000000,-110.963855199999000,1.000000000000000,CF,S,2079.000000000000000
302,33.788912560000000,-110.963855199999000,1.000000000000000,CF,S,2079.000000000000000
276,33.828561360000000,-111.148397200000000,0.390000000000000,BF,S,2244.000000000000000
277,33.828561360000000,-111.148397200000000,0.183000000000000,BF,S,2244.000000000000000
275,33.828561360000000,-111.148397200000000,1.000000000000000,CF,S,2244.000000000000000
251,33.839837000000000,-110.958129999999000,0.050000000000000,BF,S,1974.000000000000000
255,34.129469999999900,-117.820902000000000,1.000000000000000,CF,S,2071.000000000000000
205,34.350000000000000,136.416666700000000,1.460000000000000,CF,S,1263.000000000000000
256,34.413333330000000,-119.073055600000000,0.280000000000000,BF,S,1920.000000000000000
295,34.430855999999900,-112.262636000000000,0.050000000000000,BF,S,2261.000000000000000
232,34.431286000000000,-94.552682000000000,0.430000000000000,BF,S,1491.000000000000000
238,34.431286000000000,-94.552682000000000,0.430000000000000,BF,S,1491.000000000000000
296,34.465201819999900,-112.558174800000000,0.430000000000000,BF,S,2048.000000000000000
201,34.558333330000000,105.724999999999000,0.360000000000000,BF,S,1161.000000000000000
257,34.569444439999900,-119.256388900000000,0.160000000000000,BF,S,1829.000000000000000
74,34.574444000000000,111.873610999999000,0.340000000000000,BF,S,1431.000000000000000
76,34.672598000000000,-111.667857999999000,0.350000000000000,BF,S,2269.000000000000000
237,34.786948000000000,-93.029589000000000,0.860000000000000,CF,S,1429.000000000000000
233,34.786948000000000,-93.029589000000000,0.540000000000000,CF,S,1429.000000000000000
235,34.786948000000000,-93.029589000000000,0.190000000000000,BF,S,1429.000000000000000
234,34.786948000000000,-93.029589000000000,94.000000000000000,BF,S,1429.000000000000000
64,34.790599999999900,-93.024600000000000,650.000000000000000,BF,S,1433.000000000000000
65,34.790599999999900,-93.024600000000000,434.000000000000000,BF,S,1433.000000000000000
124,34.799999999999900,76.700000000000000,386.000000000000000,BF,S,736.000000000000000
115,35.033332999999900,-83.433333000000000,734.000000000000000,BF,S,1237.000000000000000
112,35.046388999999900,83.465000000000000,0.280000000000000,BF,S,1070.000000000000000
117,35.049999999999900,-83.583332999999900,0.200000000000000,BF,S,1219.000000000000000
111,35.049999999999900,86.416667000000000,0.290000000000000,BF,S,1165.000000000000000
110,35.059789000000000,-83.430554000000000,0.860000000000000,BF,S,1312.000000000000000
116,35.059789000000000,-83.430554000000000,0.060000000000000,BF,S,1312.000000000000000
